,constructorStandingsId,raceId,constructorId,points,position,positionText,wins
12979,28471,1102,210,8.0,7,7,0
12980,28472,1102,1,14.0,5,5,0
12981,28473,1104,9,249.0,1,1,6
12982,28474,1104,117,120.0,2,2,0
12983,28475,1104,6,90.0,4,4,0
12984,28476,1104,131,119.0,3,3,0
12985,28477,1104,51,6.0,8,8,0
12986,28478,1104,214,35.0,5,5,0
12987,28479,1104,3,1.0,10,10,0
12988,28480,1104,213,2.0,9,9,0
12989,28481,1104,210,8.0,7,7,0
12990,28482,1104,1,17.0,6,6,0
12991,28493,1105,9,287.0,1,1,7
12992,28494,1105,117,134.0,3,3,0
12993,28495,1105,6,100.0,4,4,0
12994,28496,1105,131,152.0,2,2,0
12995,28497,1105,51,8.0,8,8,0
12996,28498,1105,214,40.0,5,5,0
12997,28499,1105,3,1.0,10,10,0
12998,28500,1105,213,2.0,9,9,0
12999,28501,1105,210,8.0,7,7,0
13000,28502,1105,1,17.0,6,6,0
13001,28522,1106,1,17.0,6,6,0
13002,28521,1106,210,8.0,8,8,0
13003,28520,1106,213,2.0,10,10,0
13004,28519,1106,3,7.0,9,9,0
13005,28518,1106,214,44.0,5,5,0
13006,28517,1106,51,9.0,7,7,0
13007,28516,1106,131,167.0,2,2,0
13008,28515,1106,6,122.0,4,4,0
13009,28514,1106,117,154.0,3,3,0
13010,28513,1106,9,321.0,1,1,8
13011,28541,1107,210,11.0,7,7,0
13012,28539,1107,3,7.0,9,9,0
13013,28535,1107,6,154.0,4,4,0
13014,28534,1107,117,175.0,3,3,0
13015,28540,1107,213,2.0,10,10,0
13016,28542,1107,1,29.0,6,6,0
13017,28538,1107,214,47.0,5,5,0
13018,28533,1107,9,377.0,1,1,9
13019,28537,1107,51,9.0,8,8,0
13020,28536,1107,131,178.0,2,2,0
13021,28543,1108,9,411.0,1,1,10
13022,28544,1108,117,181.0,3,3,0
13023,28545,1108,6,157.0,4,4,0
13024,28546,1108,131,203.0,2,2,0
13025,28547,1108,51,9.0,9,9,0
13026,28548,1108,214,47.0,6,6,0
13027,28549,1108,3,11.0,7,7,0
13028,28550,1108,213,2.0,10,10,0
13029,28551,1108,210,11.0,8,8,0
13030,28552,1108,1,59.0,5,5,0
13031,28553,1109,9,452.0,1,1,11
13032,28554,1109,117,184.0,3,3,0
13033,28555,1109,6,167.0,4,4,0
13034,28556,1109,131,223.0,2,2,0
13035,28557,1109,51,9.0,9,9,0
13036,28558,1109,214,47.0,6,6,0
13037,28559,1109,3,11.0,7,7,0
13038,28560,1109,213,2.0,10,10,0
13039,28561,1109,210,11.0,8,8,0
13040,28562,1109,1,87.0,5,5,0
13041,28563,1110,9,503.0,1,1,12
13042,28564,1110,117,196.0,3,3,0
13043,28565,1110,6,191.0,4,4,0
13044,28566,1110,131,247.0,2,2,0
13045,28567,1110,51,9.0,9,9,0
13046,28568,1110,214,57.0,6,6,0
13047,28569,1110,3,11.0,7,7,0
13048,28570,1110,213,3.0,10,10,0
13049,28571,1110,210,11.0,8,8,0
13050,28572,1110,1,103.0,5,5,0
